id,NO,station,key,year,date,from_time,RH,SO2,CO,O3,PM25,NOX,WS,WD,NO2,CH4,NH3,BENZ,TOLU,TEMP,SR,AT,PM10,PRES,ETHYL,NMHC,THC
1,2.12,BTM,BTM_01_05_2017_08_00_00,2017,01/05/2017,08:00:00,30.67,2.91,0.55,97.53,20.51,13.08,0.68,97.72,17.61,,,,,,,,,,,,
2,1.95,BTM,BTM_01_05_2017_12_00_00,2017,01/05/2017,12:00:00,23.54,2.43,0.71,78.73,17.22,13.13,0.68,124.9,18.48,,,,,,,,,,,,
3,2,BTM,BTM_01_05_2017_16_00_00,2017,01/05/2017,16:00:00,32.71,3.01,0.72,75.02,22.06,13.61,1.75,110,19.41,,,,,,,,,,,,
4,2.11,BTM,BTM_01_05_2017_20_00_00,2017,01/05/2017,20:00:00,57.1,1.9,0.81,81.75,26.85,14.92,1.36,141.97,21.9,,,,,,,,,,,,
5,2.05,BTM,BTM_02_05_2017_00_00_00,2017,02/05/2017,00:00:00,58.08,0.53,0.78,105.57,16.7,12.22,1.45,127.95,16.47,,,,,,,,,,,,
6,1.97,BTM,BTM_02_05_2017_04_00_00,2017,02/05/2017,04:00:00,60.72,0.21,0.69,58.36,13.85,14.06,0.46,117.94,20.36,,,,,,,,,,,,
7,2.5,BTM,BTM_02_05_2017_08_00_00,2017,02/05/2017,08:00:00,42.31,2.24,0.71,88.05,21.91,14.72,0.74,129.37,21.16,,,,,,,,,,,,
8,1.99,BTM,BTM_02_05_2017_12_00_00,2017,02/05/2017,12:00:00,23.76,2.41,0.55,91.19,22.5,13.53,0.79,136.89,19.43,,,,,,,,,,,,
9,2.09,BTM,BTM_02_05_2017_16_00_00,2017,02/05/2017,16:00:00,27.35,0.62,0.73,83.37,30.57,14.02,1.31,87.82,20.09,,,,,,,,,,,,
10,2.02,BTM,BTM_02_05_2017_20_00_00,2017,02/05/2017,20:00:00,41.91,1.22,0.67,55.11,44.17,15.58,1.13,99.01,23.41,,,,,,,,,,,,
